id_ocorrencia;data_hora_ocorrencia;faixa_1_hora_fato;mes;ano;dia_da_semana;status_registro;natureza_principal;tentado_consumado_nat_principal;causa_presumida;meio_utilizado;perimetro;local_imediato;bairro;municipio_codigo;municipio_fato;uf_sigla
A2026ID10000;2026-07-30 15:40:00;De 15:00 as 15:59;7;2026;Quinta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;CENTRO;315840;SANTANA DE CATAGUASES;MG
A2026ID10001;2026-07-30 12:56:00;De 12:00 as 12:59;7;2026;Quinta-Feira;FECHADO;LESAO CORPORAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;VIA DE ACESSO PUBLICA;CENTRO;312710;FRUTAL;MG
A2026ID10003;2026-07-30 01:25:00;De 01:00 as 01:59;7;2026;Quinta-Feira;FECHADO;LESAO CORPORAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;CASA;MORRO ALTO;317120;VESPASIANO;MG
A2026ID10005;2026-07-29 19:00:00;De 19:00 as 19:59;7;2026;Quarta-Feira;FECHADO;VIAS DE FATO / AGRESSAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;SHOPPING CENTER;DISTRITO INDUSTRIAL FERNAO DIAS;310670;BETIM;MG
A2026ID10006;2026-07-29 14:30:00;De 14:00 as 14:59;7;2026;Quarta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;CENTRO;310740;BOM DESPACHO;MG
A2026ID10007;2026-07-28 22:18:00;De 22:00 as 22:59;7;2026;Terça-Feira;FECHADO;VIAS DE FATO / AGRESSAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;VIOLENCIA OU VIAS DE FATO;URBANO;VIA DE ACESSO PUBLICA;SANTA MONICA;317020;UBERLANDIA;MG
A2026ID10009;2026-07-28 19:50:00;De 19:00 as 19:59;7;2026;Terça-Feira;FECHADO;CALUNIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;OUTROS - ESTABELECIMENTOS DE LAZER/ CULTURA /;MUNDO NOVO;313670;JUIZ DE FORA;MG
A2026ID10013;2026-07-28 19:02:00;De 19:00 as 19:59;7;2026;Terça-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;VIA DE ACESSO PUBLICA;FLORESTA;310620;BELO HORIZONTE;MG
A2026ID10014;2026-07-28 08:10:00;De 08:00 as 08:59;7;2026;Terça-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;CENTRO;313240;ITAJUBA;MG
A2026ID10015;2026-07-27 18:00:00;De 18:00 as 18:59;7;2026;Segunda-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;VIA DE ACESSO PUBLICA;CENTRO;313940;MANHUACU;MG
A2026ID10016;2026-07-27 18:00:00;De 18:00 as 18:59;7;2026;Segunda-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;APARTAMENTO;CENTRO;313940;MANHUACU;MG
A2026ID10019;2026-07-27 16:35:00;De 16:00 as 16:59;7;2026;Segunda-Feira;FECHADO;CALUNIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;ESCRITA FISICA;URBANO;HOSPITAL/SANTA CASA;CENTRO;310420;ARCOS;MG
A2026ID10020;2026-07-27 11:30:00;De 11:00 as 11:59;7;2026;Segunda-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;BAR / LANCHONETE / RESTAURANTE / SIMILAR;UNIAO;310620;BELO HORIZONTE;MG
A2026ID10021;2026-07-27 03:00:00;De 03:00 as 03:59;7;2026;Segunda-Feira;FECHADO;LESAO CORPORAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;INSTRUMENTO CONTUNDENTE / CORTANTE / PERFURANTE (ARMA BRANCA);URBANO;VIA DE ACESSO PUBLICA;SAO MATEUS;313670;JUIZ DE FORA;MG
A2026ID10023;2026-07-26 13:40:00;De 13:00 as 13:59;7;2026;Domingo;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;RURAL;FAZENDA;;314800;PATOS DE MINAS;MG
A2026ID10024;2026-07-26 02:04:00;De 02:00 as 02:59;7;2026;Domingo;FECHADO;LESAO CORPORAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;CASA;JARDIM DAS ALTEROSAS - SEGUNDA SECAO;310670;BETIM;MG
A2026ID10026;2026-07-25 15:59:00;De 15:00 as 15:59;7;2026;Sabado;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;MERCEARIA / SACOLAO / SUPERMERCADO;TIBERY;317020;UBERLANDIA;MG
